reccount,polno,state,effdate,expdate,polage,cancel,reinstate,lapse,poltype,vehtype,deluxmulti,color,year,milecat,size,power,V96,deduct,county,limit,prem,incloss,claimct
216251,WEN9993376  ,AZ,20141219,20151219,6,0,0,0,delux,stand,No,White,1970,3,2974,2,O              ,1000,31,500,2077,0,0
216260,WEN9993380  ,AZ,20141213,20151213,6,0,0,0,delux,full,No,White,1964,4,1818,1,O              ,1000,9,100,2689,0,0
216270,WEN9993382  ,AZ,20141205,20151205,6,0,1,1,delux,stand,No,White,1984,5,3739,2,G              ,2500,109,1000,4060,0,0
216288,WEN9993385  ,AZ,20141205,20151205,6,0,0,0,delux,full,No,White,1960,2,1104,1,G              ,1000,9,25,2299,0,0
216300,WEN9993388  ,AZ,20141206,20151206,6,0,0,0,delux,full,No,White,1998,5,1137,0,               ,1000,81,25,1739,0,0
216319,WEN9993394  ,AZ,20141216,20151216,6,0,0,0,delux,stand,No,White,1970,3,950,0,               ,1000,73,25,766,0,0
216326,WEN9993395  ,AZ,20141226,20151226,6,1,2,0,delux,full,No,White,1978,4,1150,0,G              ,1000,81,100,1886,0,0
216335,WEN9993398  ,AZ,20141204,20151204,6,0,5,5,delux,full,No,White,1987,5,1322,0,               ,2500,9,100,1775,0,0
216342,WEN9993399  ,AZ,20141217,20151217,6,0,0,0,delux,full,No,White,1963,4,1410,0,G              ,1000,9,100,2737,0,0
216378,WEN9993410  ,AZ,20141230,20151230,6,1,3,1,delux,full,No,White,1926,3,1987,0,               ,1000,1,500,1720,0,0
216385,WEN9993411  ,AZ,20141230,20151230,6,1,2,0,delux,stand,No,White,1992,6,1547,0,               ,1000,129,100,1271,0,0
216409,WEN9993418  ,AZ,20141230,20151230,6,0,2,2,delux,full,No,White,1972,3,1711,0,               ,1000,103,100,3857,0,0
216537,WEN9993459  ,AZ,20141230,20151230,6,0,0,0,delux,full,No,White,1947,2,2407,2,G              ,1000,103,500,5526,0,0
216605,WEN9993485  ,AZ,20141230,20151230,6,0,0,0,delux,full,No,White,1974,4,1370,1,H              ,1000,81,25,1628,0,0
216622,WEN9993488  ,AZ,20141230,20151230,6,1,2,0,delux,full,No,White,1950,3,1956,0,               ,2500,115,500,1800,0,0
216651,WEN9993502  ,AZ,20141203,20151203,6,0,0,0,delux,full,No,Blue,1987,5,1282,0,H              ,2500,15,100,1336,0,0
216658,WEN9993503  ,AZ,20141203,20151203,6,0,0,0,stand,full,stand,White,1981,3,960,0,               ,1000,115,25,1124,0,0
216676,WEN9993508  ,AZ,20141223,20151223,6,0,0,0,delux,stand,No,White,1984,3,912,0,               ,1000,9,25,2107,0,0
216697,WEN9993514  ,AZ,20141205,20151205,6,0,0,0,delux,full,No,White,1992,3,1400,0,H              ,2500,71,100,1005,0,0
216709,WEN9993519  ,AZ,20141205,20151205,6,0,0,0,delux,full,No,White,1964,5,1894,1,H              ,2500,9,100,2288,0,0
216716,WEN9993520  ,AZ,20141208,20151208,6,0,1,1,delux,full,No,White,1972,3,832,1,               ,2500,115,25,1654,0,0
216744,WEN9993529  ,AZ,20141217,20151217,6,0,0,0,delux,stand,No,White,1990,3,1492,0,H              ,1000,71,25,2204,0,0
216765,WEN9993535  ,AZ,20141216,20151216,6,0,0,0,delux,full,No,Blue,1980,4,1560,0,G              ,1000,81,100,2695,0,0
216777,WEN9993537  ,AZ,20141205,20151205,6,1,2,0,delux,stand,No,White,1988,4,1108,1,               ,1000,73,25,936,0,0
216784,WEN9993538  ,AZ,20141202,20151202,6,0,1,1,delux,econ,No,White,1979,5,2228,0,H              ,1000,109,500,1578,0,0
216802,WEN9993541  ,AZ,20141204,20151204,6,0,1,1,stand,full,stand,White,1971,4,1260,0,               ,1000,71,25,3468,0,0
216820,WEN9993547  ,AZ,20141219,20151219,6,0,0,0,delux,stand,No,Blue,1986,4,1114,1,O              ,2500,81,100,1736,0,0
216829,WEN9993549  ,AZ,20141203,20151203,6,1,2,0,delux,full,No,White,1954,6,1912,1,               ,1000,55,500,1047,0,0
216836,WEN9993551  ,AZ,20141215,20151215,6,0,0,0,delux,full,No,White,1950,4,1816,0,O              ,1000,9,100,2472,0,0
216846,WEN9993553  ,AZ,20141210,20151210,6,1,5,3,delux,full,No,White,1977,3,1354,0,G              ,2500,115,25,2021,0,0
216853,WEN9993554  ,AZ,20141222,20151222,6,0,3,3,delux,full,No,White,1962,3,1972,1,               ,1000,1,100,1418,0,0
216891,WEN9993567  ,AZ,20141205,20151205,6,0,0,0,delux,stand,No,White,1940,3,1057,0,               ,1000,105,25,1341,0,0
216906,WEN9993573  ,AZ,20141221,20151221,6,0,0,0,delux,full,No,White,1984,4,2904,0,               ,1000,117,500,3044,0,0
216930,WEN9993584  ,AZ,20141203,20151203,6,1,2,0,delux,stand,No,White,1980,5,3526,1,H              ,2500,9,500,4794,0,0
216937,WEN9993585  ,AZ,20141213,20151213,6,0,0,0,delux,full,No,White,1979,5,3765,2,G              ,1000,127,500,3602,0,0
216969,WEN9993601  ,AZ,20141224,20151224,6,1,2,0,delux,full,No,White,1966,3,2102,2,               ,1000,1,100,1605,0,0
216976,WEN9993602  ,AZ,20141224,20151224,6,0,0,0,delux,full,No,White,1989,5,1789,1,H              ,1000,105,100,1294,0,0
216984,WEN9993605  ,AZ,20141227,20151227,6,0,2,2,delux,full,No,White,1994,5,2001,1,H              ,1000,9,100,1733,0,0
217022,WEN9993614  ,AZ,20141229,20151229,6,0,1,1,delux,stand,No,White,1925,4,1965,1,G              ,2500,81,100,3405,0,0
217043,WEN9993621  ,AZ,20141229,20151229,6,0,1,1,stand,full,stand,Red,1971,3,1302,0,               ,1000,115,25,1341,0,0
217071,WEN9993627  ,AZ,20141230,20151230,6,0,2,2,delux,full,No,White,1950,3,3445,2,H              ,1000,109,500,3079,0,0
217115,WEN9993641  ,AZ,20141229,20151229,6,1,2,2,delux,full,No,White,1972,4,1426,1,G              ,1000,21,25,2003,0,0
217128,WEN9993644  ,AZ,20141229,20151229,6,0,1,1,delux,full,No,Blue,1993,3,2123,1,G              ,1000,71,500,3604,0,0
217146,WEN9993648  ,AZ,20141230,20151230,6,1,2,0,delux,full,No,White,1963,4,1222,0,G              ,1000,9,25,1848,0,0
217153,WEN9993649  ,AZ,20141229,20151229,6,0,0,0,delux,stand,No,Blue,1986,4,1223,1,               ,2500,81,100,2438,0,0
217160,WEN9993650  ,AZ,20141229,20151229,6,0,1,1,delux,econ,No,White,1948,4,2063,1,               ,2500,5,100,2133,0,0
217173,WEN9993653  ,AZ,20141230,20151230,6,0,0,0,delux,full,No,White,1988,4,1844,1,G              ,2500,81,100,1055,0,0
217207,WEN9993664  ,AZ,20141229,20151229,6,0,0,0,delux,full,No,White,1973,4,1129,1,G              ,2500,81,25,1255,0,0
217228,WEN9993670  ,AZ,20141226,20151226,6,2,4,0,delux,full,No,White,1959,5,1300,0,G              ,2500,9,25,1091,0,0
217239,WEN9993672  ,AZ,20141228,20151228,6,0,0,0,delux,full,No,White,1962,5,2174,0,G              ,2500,9,500,2345,0,0
217247,WEN9993676  ,AZ,20141230,20151230,6,0,0,0,delux,full,No,White,1976,3,1519,0,               ,2500,103,100,3341,0,0
217283,WEN9993690  ,AZ,20141223,20151223,6,0,0,0,delux,stand,No,White,1978,4,1778,0,H              ,1000,127,500,1827,0,0
217290,WEN9993691  ,AZ,20141229,20151229,6,0,1,1,delux,full,No,White,2001,3,1777,0,H              ,2500,71,25,939,0,0
217299,WEN9993693  ,AZ,20141223,20151223,6,0,0,0,stand,full,stand,Blue,1999,3,1594,0,               ,1000,21,25,2417,0,0
217308,WEN9993695  ,AZ,20141209,20151209,6,1,2,0,delux,stand,No,White,1915,5,1112,1,H              ,1000,81,25,1874,0,0
217333,WEN9993701  ,AZ,20141219,20151219,6,1,4,3,delux,full,No,White,1986,5,1140,0,               ,2500,81,25,1461,0,0
217347,WEN9993706  ,AZ,20141219,20151219,6,0,0,0,delux,full,No,White,1970,2,1091,1,               ,2500,103,100,2731,0,0
217354,WEN9993707  ,AZ,20141220,20151220,6,1,2,1,delux,stand,No,White,1920,5,3130,2,               ,2500,79,500,3167,0,0
217366,WEN9993712  ,AZ,20141229,20151229,6,0,0,0,delux,full,No,White,1957,5,2034,1,O              ,1000,9,500,3350,0,0
217373,WEN9993713  ,AZ,20141216,20151216,6,0,0,0,delux,stand,No,White,1992,3,3076,0,O              ,1000,71,500,3128,0,0
217380,WEN9993714  ,AZ,20141215,20151215,6,0,1,1,delux,stand,No,White,1920,5,1192,1,               ,1000,105,25,1472,0,0
217387,WEN9993715  ,AZ,20141215,20151215,6,0,0,0,stand,lux,stand,Blue,1998,4,1998,0,H              ,1000,71,25,1334,0,0
217419,WEN9993725  ,AZ,20141216,20151216,6,0,0,0,delux,full,No,White,1950,4,1432,0,               ,1000,127,100,2643,0,0
217427,WEN9993728  ,AZ,20141222,20151222,6,0,0,0,delux,full,No,White,1999,3,1125,0,H              ,1000,115,25,1413,0,0
217434,WEN9993729  ,AZ,20141227,20151227,6,1,2,2,stand,full,stand,White,2004,3,2052,0,O              ,500,115,25,1220,0,0
217441,WEN9993730  ,AZ,20141217,20151217,6,0,0,0,delux,full,No,White,1972,3,1442,1,               ,1000,31,25,967,0,0
217454,WEN9993733  ,AZ,20141219,20151219,6,1,2,0,delux,full,No,White,1977,3,1788,1,H              ,1000,115,500,3096,0,0
217475,WEN9993741  ,AZ,20141225,20151225,6,0,2,2,delux,full,No,White,1984,4,1764,1,G              ,2500,127,100,639,0,0
217489,WEN9993744  ,AZ,20141218,20151218,6,0,0,0,delux,full,No,White,1948,6,1468,1,               ,1000,127,25,1757,0,0
217513,WEN9993755  ,AZ,20141215,20151215,6,0,0,0,delux,stand,No,White,1990,5,1874,1,G              ,2500,9,100,1967,0,0
217537,WEN9993763  ,AZ,20141218,20151218,6,0,0,0,delux,full,No,White,1979,5,1800,1,G              ,2500,9,100,2262,0,0
217550,WEN9993768  ,AZ,20141218,20151218,6,1,2,0,delux,full,No,White,1978,3,1073,1,H              ,1000,31,25,725,0,0
217575,WEN9993776  ,AZ,20141215,20151215,6,0,0,0,delux,full,No,White,1961,6,1600,1,H              ,1000,45,100,1891,0,0
217582,WEN9993777  ,AZ,20141217,20151217,6,0,0,0,delux,full,No,White,1979,4,1348,0,H              ,1000,71,25,1595,0,0
